window,match_date,home_team,away_team,league,predicted,actual,correct,confidence,decimal_odds,profit
1,2022-04-04 00:00:00+00:00,Milan,Bologna,SA,home_win,draw,False,0.657,1.4,-1.0
1,2022-04-08 00:00:00+00:00,Sevilla,Granada,PD,home_win,home_win,True,0.584,1.5,0.5
1,2022-04-08 00:00:00+00:00,Stuttgart,Dortmund,BL1,away_win,away_win,True,0.594,1.8,0.8
1,2022-04-09 00:00:00+00:00,Cagliari,Juventus,SA,away_win,away_win,True,0.639,1.6,0.6
1,2022-04-09 00:00:00+00:00,Southampton,Chelsea,PL,away_win,away_win,True,0.572,1.95,0.95
1,2022-04-09 00:00:00+00:00,Everton,Man United,PL,away_win,home_win,False,0.58,1.75,-1.0
1,2022-04-09 00:00:00+00:00,Mallorca,Ath Madrid,PD,away_win,home_win,False,0.572,1.95,-1.0
1,2022-04-09 00:00:00+00:00,Real Madrid,Getafe,PD,home_win,home_win,True,0.706,1.4,0.4
1,2022-04-09 00:00:00+00:00,Bayern Munich,Augsburg,BL1,home_win,home_win,True,0.763,1.11,0.11
1,2022-04-10 00:00:00+00:00,Bochum,Leverkusen,BL1,away_win,draw,False,0.568,1.8,-1.0
1,2022-04-10 00:00:00+00:00,Levante,Barcelona,PD,away_win,away_win,True,0.616,1.45,0.45
1,2022-04-10 00:00:00+00:00,Roma,Salernitana,SA,home_win,home_win,True,0.598,1.28,0.28
1,2022-04-15 00:00:00+00:00,Spezia,Inter,SA,away_win,away_win,True,0.577,1.3,0.3
1,2022-04-16 00:00:00+00:00,Juventus,Bologna,SA,home_win,draw,False,0.607,1.33,-1.0
1,2022-04-16 00:00:00+00:00,Man United,Norwich,PL,home_win,home_win,True,0.576,1.25,0.25
1,2022-04-16 00:00:00+00:00,Southampton,Arsenal,PL,away_win,home_win,False,0.583,1.95,-1.0
1,2022-04-16 00:00:00+00:00,Fiorentina,Venezia,SA,home_win,home_win,True,0.611,1.36,0.36
1,2022-04-16 00:00:00+00:00,Tottenham,Brighton,PL,home_win,away_win,False,0.604,1.53,-1.0
1,2022-04-16 00:00:00+00:00,Dortmund,Wolfsburg,BL1,home_win,home_win,True,0.661,1.53,0.53
1,2022-04-17 00:00:00+00:00,Hoffenheim,Greuther Furth,BL1,home_win,draw,False,0.576,1.28,-1.0
1,2022-04-17 00:00:00+00:00,Ath Madrid,Espanol,PD,home_win,home_win,True,0.67,1.4,0.4
1,2022-04-17 00:00:00+00:00,Bielefeld,Bayern Munich,BL1,away_win,away_win,True,0.663,1.18,0.18
