home_team,away_team,match_date,league,avg_goal_diff_h2h,h2h_home_winrate,home_form_winrate,away_form_winrate,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded,h2h_draw_rate,h2h_total_goals,home_draw_rate,away_draw_rate,combined_draw_rate,home_venue_draw_rate,away_venue_draw_rate,current_season_draw_rate,form_differential,goals_differential,expected_total_goals,home_total_goals_avg,away_total_goals_avg,league_avg_goals,league_draw_rate,league_home_adv,home_momentum,away_momentum,momentum_differential,is_low_scoring,is_defensive_match,has_odds,home_true_prob,draw_true_prob,away_true_prob,market_draw_confidence,market_favorite_confidence,market_competitiveness,odds_spread,raw_home_odds,raw_draw_odds,raw_away_odds,form_x_goals,momentum_interaction,draw_affinity,result
Valencia,Getafe,2021-08-13 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.5,0.25,0.1,0.5,0.5,0.0,1.0,1.0,1.0,0.3741701870850936,0.3180446590223295,0.30778515389257693,0.3180446590223295,0.3741701870850936,0.9336149668074833,0.5500000000000003,2.55,3.0,3.1,0.0,0.25,0.0625,H
M'gladbach,Bayern Munich,2021-08-13 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.5,0.25,0.1,0.5,0.5,0.0,1.0,1.0,1.0,0.21878697704933397,0.21052169124969247,0.5706913317009736,0.21052169124969247,0.5706913317009736,0.6480956453483604,2.67,4.33,4.5,1.66,0.0,0.25,0.0625,D
Brentford,Arsenal,2021-08-13 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.5,0.25,0.1,0.5,0.5,0.0,1.0,1.0,1.0,0.2365322868355333,0.2782732786300392,0.48519443453442734,0.2782732786300392,0.48519443453442734,0.751337852301106,2.05,4.0,3.4,1.95,0.0,0.25,0.0625,H
Osasuna,Espanol,2021-08-14 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,2.0,2.5,2.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.42285270112708895,0.29731830547998445,0.27982899339292655,0.29731830547998445,0.42285270112708895,0.8569762922658376,1.15,2.25,3.2,3.4,0.0,0.25,0.0,D
Alaves,Real Madrid,2021-08-14 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,2.0,2.5,2.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.13633645604943193,0.20091688259916285,0.6627466613514053,0.20091688259916285,0.6627466613514053,0.47358979469802664,5.5600000000000005,7.0,4.75,1.44,0.0,0.25,0.0,A
Mallorca,Betis,2021-08-14 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,2.0,2.5,2.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.288135593220339,0.2796610169491525,0.43220338983050843,0.2796610169491525,0.43220338983050843,0.8559322033898306,1.0999999999999996,3.3,3.4,2.2,0.0,0.25,0.0,D
Norwich,Liverpool,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.10539302079661615,0.16496298907296442,0.7296439901304195,0.16496298907296442,0.7296439901304195,0.3757490306661967,7.7,9.0,5.75,1.3,0.0,0.25,0.0,A
Watford,Aston Villa,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.305178866041608,0.29564202647780774,0.39917910748058427,0.29564202647780774,0.39917910748058427,0.9059997585610238,0.73,3.1,3.2,2.37,0.0,0.25,0.0,H
Leicester,Wolves,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5704400537557545,0.24919223400909268,0.1803677122351528,0.24919223400909268,0.5704400537557545,0.6099276584793983,3.59,1.66,3.8,5.25,0.0,0.25,0.0,H
Everton,Southampton,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.49557522123893805,0.26902654867256637,0.23539823008849559,0.26902654867256637,0.49557522123893805,0.7398230088495575,2.1,1.9,3.5,4.0,0.0,0.25,0.0,H
