match_id,commence_time,home_team_raw,away_team_raw,home_team,away_team,league,sport_key,home_odds,away_odds,draw_odds,num_bookmakers,fetch_timestamp
97ab90a603a65929bd77565a95e00644,2026-03-20T20:00:00Z,Bournemouth,Manchester United,Bournemouth,Man United,PL,soccer_epl,3.15,2.1,3.71,19,2026-03-19 01:45:54.607947+00:00
6f6891624dbf3d13a1e41a24d2c7bf4c,2026-03-21T12:30:00Z,Brighton and Hove Albion,Liverpool,Brighton,Liverpool,PL,soccer_epl,3.05,2.17,3.58,19,2026-03-19 01:45:54.607947+00:00
5a6fab8da714813d8037b9754f082f7f,2026-03-21T15:00:00Z,Fulham,Burnley,Fulham,Burnley,PL,soccer_epl,1.54,6.05,4.01,19,2026-03-19 01:45:54.607947+00:00
70a4161c6b699d029c5e4a2ebdf61fbc,2026-03-21T17:30:00Z,Everton,Chelsea,Everton,Chelsea,PL,soccer_epl,3.39,2.04,3.55,19,2026-03-19 01:45:54.607947+00:00
997cc590268f6d24e0d2e8d84a6e3389,2026-03-21T20:00:00Z,Leeds United,Brentford,Leeds,Brentford,PL,soccer_epl,2.41,2.82,3.38,19,2026-03-19 01:45:54.607947+00:00
3def90dc9d468dd46508a5afae2d5546,2026-03-22T12:00:00Z,Newcastle United,Sunderland,Newcastle,Sunderland,PL,soccer_epl,1.64,5.03,3.89,19,2026-03-19 01:45:54.607947+00:00
1efa28912151d6adc43453fb2302a610,2026-03-22T14:15:00Z,Aston Villa,West Ham United,Aston Villa,West Ham,PL,soccer_epl,1.93,3.76,3.54,19,2026-03-19 01:45:54.607947+00:00
81dd92df69b61ff2716351eea3bd457c,2026-03-22T14:15:00Z,Tottenham Hotspur,Nottingham Forest,Tottenham,Nottm Forest,PL,soccer_epl,2.32,3.0,3.31,19,2026-03-19 01:45:54.607947+00:00
10d3a3a8df4f15a0754da8195a47c41f,2026-04-10T19:00:00Z,West Ham United,Wolverhampton Wanderers,West Ham,Wolves,PL,soccer_epl,1.74,4.17,3.76,16,2026-03-19 01:45:54.607947+00:00
ff027a0ac6a0538a713b46bd753b670d,2026-04-11T11:30:00Z,Arsenal,Bournemouth,Arsenal,Bournemouth,PL,soccer_epl,1.32,8.49,5.14,15,2026-03-19 01:45:54.607947+00:00
41b3af3f11ca7ac6a1f3763620c10d5a,2026-04-11T14:00:00Z,Nottingham Forest,Aston Villa,Nottm Forest,Aston Villa,PL,soccer_epl,2.5,2.73,3.28,15,2026-03-19 01:45:54.607947+00:00
0b8adb16f16b2490e3fbd514a2d86190,2026-04-11T14:00:00Z,Brentford,Everton,Brentford,Everton,PL,soccer_epl,2.11,3.36,3.31,15,2026-03-19 01:45:54.607947+00:00
